in s,C1 in V,C2 in V
-3.0148087E-01,5.92082E+00,6.34223E+00
-3.0146707E-01,5.86223E+00,6.37152E+00
-3.0145327E-01,5.86223E+00,6.28363E+00
-3.0143947E-01,5.95012E+00,6.25434E+00
-3.0142567E-01,5.92082E+00,6.34223E+00
-3.0141187E-01,5.89152E+00,6.28363E+00
-3.0139807E-01,5.86223E+00,6.19574E+00
-3.0138427E-01,6.00871E+00,6.34223E+00
-3.0137047E-01,5.92082E+00,6.34223E+00
-3.0135667E-01,5.92082E+00,6.22504E+00
-3.0134287E-01,5.86223E+00,6.28363E+00
-3.0132907E-01,5.92082E+00,6.25434E+00
-3.0131527E-01,5.92082E+00,6.28363E+00
-3.0130147E-01,5.89152E+00,6.31293E+00
-3.0128767E-01,5.89152E+00,6.43012E+00
-3.0127387E-01,5.83293E+00,6.40082E+00
-3.0126007E-01,5.74504E+00,6.31293E+00
-3.0124627E-01,5.89152E+00,6.31293E+00
-3.0123247E-01,5.95012E+00,6.28363E+00
-3.0121867E-01,5.92082E+00,6.31293E+00
-3.0120487E-01,5.89152E+00,6.37152E+00
-3.0119107E-01,5.86223E+00,6.37152E+00
-3.0117727E-01,5.80363E+00,6.28363E+00
-3.0116347E-01,5.83293E+00,6.31293E+00
-3.0114967E-01,5.86223E+00,6.31293E+00
-3.0113587E-01,5.83293E+00,6.28363E+00
-3.0112207E-01,5.86223E+00,6.16645E+00
-3.0110827E-01,5.95012E+00,6.28363E+00
-3.0109447E-01,5.83293E+00,6.28363E+00
-3.0108067E-01,5.83293E+00,6.25434E+00
-3.0106687E-01,5.80363E+00,6.40082E+00
-3.0105307E-01,5.80363E+00,6.28363E+00
-3.0103927E-01,5.83293E+00,6.22504E+00
-3.0102547E-01,5.92082E+00,6.31293E+00
-3.0101167E-01,5.92082E+00,6.19574E+00
-3.0099787E-01,5.86223E+00,6.31293E+00
-3.0098407E-01,5.92082E+00,6.31293E+00
-3.0097027E-01,5.89152E+00,6.37152E+00
-3.0095647E-01,5.83293E+00,6.28363E+00
-3.0094267E-01,5.92082E+00,6.22504E+00
-3.0092887E-01,5.83293E+00,6.34223E+00
-3.0091507E-01,5.92082E+00,6.34223E+00
-3.0090127E-01,5.89152E+00,6.37152E+00
-3.0088747E-01,5.95012E+00,6.34223E+00
-3.0087367E-01,5.86223E+00,6.22504E+00
