in s,C1 in V,C2 in V
-6.00000E+00,1.38916E+01,1.61865E+01
-5.99880E+00,1.37939E+01,1.64795E+01
-5.99760E+00,1.38428E+01,1.57471E+01
-5.99640E+00,1.37939E+01,1.59424E+01
-5.99520E+00,1.38916E+01,1.64307E+01
-5.99400E+00,1.37939E+01,1.57471E+01
-5.99280E+00,1.38916E+01,1.54053E+01
-5.99160E+00,1.38428E+01,1.62354E+01
-5.99040E+00,1.38916E+01,1.63330E+01
-5.98920E+00,1.37451E+01,1.55029E+01
-5.98800E+00,1.38916E+01,1.59424E+01
-5.98680E+00,1.38428E+01,1.64795E+01
-5.98560E+00,1.36475E+01,1.60889E+01
-5.98440E+00,1.38916E+01,1.56006E+01
-5.98320E+00,1.38916E+01,1.62842E+01
-5.98200E+00,1.38916E+01,1.67725E+01
-5.98080E+00,1.37939E+01,1.56982E+01
-5.97960E+00,1.37451E+01,1.60400E+01
-5.97840E+00,1.37939E+01,1.68213E+01
-5.97720E+00,1.39893E+01,1.60889E+01
-5.97600E+00,1.37939E+01,1.53076E+01
-5.97480E+00,1.37939E+01,1.61377E+01
-5.97360E+00,1.37451E+01,1.65283E+01
-5.97240E+00,1.38916E+01,1.57959E+01
-5.97120E+00,1.38428E+01,1.57959E+01
-5.97000E+00,1.38428E+01,1.66260E+01
-5.96880E+00,1.38428E+01,1.61865E+01
-5.96760E+00,1.38916E+01,1.56494E+01
-5.96640E+00,1.40869E+01,1.64795E+01
-5.96520E+00,1.38428E+01,1.68213E+01
-5.96400E+00,1.39893E+01,1.56494E+01
-5.96280E+00,1.37939E+01,1.57959E+01
-5.96160E+00,1.37939E+01,1.66748E+01
-5.96040E+00,1.38916E+01,1.58447E+01
-5.95920E+00,1.38428E+01,1.54053E+01
-5.95800E+00,1.40381E+01,1.64307E+01
-5.95680E+00,1.39404E+01,1.65771E+01
-5.95560E+00,1.39404E+01,1.57959E+01
-5.95440E+00,1.40869E+01,1.58936E+01
-5.95320E+00,1.38916E+01,1.67725E+01
-5.95200E+00,1.38428E+01,1.59424E+01
-5.95080E+00,1.37451E+01,1.57471E+01
-5.94960E+00,1.36475E+01,1.64795E+01
-5.94840E+00,1.39893E+01,1.69189E+01
-5.94720E+00,1.37939E+01,1.60889E+01
-5.94600E+00,1.40381E+01,1.59424E+01
-5.94480E+00,1.38916E+01,1.63330E+01
-5.94360E+00,1.39893E+01,1.66260E+01
-5.94240E+00,1.39893E+01,1.56494E+01
-5.94120E+00,1.38428E+01,1.62842E+01
-5.94000E+00,1.39404E+01,1.68701E+01
-5.93880E+00,1.39893E+01,1.60400E+01
-5.93760E+00,1.39893E+01,1.59912E+01
-5.93640E+00,1.40869E+01,1.66260E+01
-5.93520E+00,1.39893E+01,1.62842E+01
-5.93400E+00,1.40869E+01,1.56494E+01
-5.93280E+00,1.39404E+01,1.62842E+01
-5.93160E+00,1.38916E+01,1.68213E+01
-5.93040E+00,1.40381E+01,1.58936E+01
-5.92920E+00,1.40869E+01,1.58936E+01
-5.92800E+00,1.39893E+01,1.67236E+01
-5.92680E+00,1.39893E+01,1.67236E+01
-5.92560E+00,1.38916E+01,1.57959E+01
-5.92440E+00,1.40381E+01,1.65283E+01
-5.92320E+00,1.39404E+01,1.69189E+01
-5.92200E+00,1.39893E+01,1.59912E+01
-5.92080E+00,1.41357E+01,1.59424E+01
-5.91960E+00,1.40869E+01,1.69678E+01
-5.91840E+00,1.38916E+01,1.65283E+01
-5.91720E+00,1.39893E+01,1.57959E+01
-5.91600E+00,1.38428E+01,1.65283E+01
-5.91480E+00,1.38428E+01,1.69678E+01
-5.91360E+00,1.39893E+01,1.58447E+01
-5.91240E+00,1.39893E+01,1.59424E+01
-5.91120E+00,1.38428E+01,1.68213E+01
-5.91000E+00,1.39893E+01,1.63330E+01
-5.90880E+00,1.39404E+01,1.59424E+01
-5.90760E+00,1.39404E+01,1.65771E+01
-5.90640E+00,1.39893E+01,1.70654E+01
-5.90520E+00,1.40869E+01,1.59912E+01
