in s,C1 in V
-4.140000E-01,-4.0969849E-03
-4.139172E-01,-3.8681030E-03
-4.138344E-01,-3.3340454E-03
-4.137516E-01,-3.6392212E-03
-4.136688E-01,-3.4866333E-03
-4.135860E-01,-3.3340454E-03
-4.135032E-01,-3.2577515E-03
-4.134204E-01,-3.7155151E-03
-4.133376E-01,-3.9443970E-03
-4.132548E-01,-3.8681030E-03
-4.131720E-01,-3.4866333E-03
-4.130892E-01,-3.1814575E-03
-4.130064E-01,-3.1814575E-03
-4.129236E-01,-3.6392212E-03
-4.128408E-01,-4.1732788E-03
-4.127580E-01,-3.7918091E-03
-4.126752E-01,-3.8681030E-03
-4.125924E-01,-3.7918091E-03
-4.125096E-01,-4.0206909E-03
-4.124268E-01,-4.0206909E-03
-4.123440E-01,-4.4784546E-03
-4.122612E-01,-4.3258667E-03
-4.121784E-01,-3.8681030E-03
-4.120956E-01,-3.9443970E-03
-4.120128E-01,-4.1732788E-03
-4.119300E-01,-4.1732788E-03
-4.118472E-01,-4.4021606E-03
-4.117644E-01,-4.5547485E-03
-4.116816E-01,-4.5547485E-03
-4.115988E-01,-4.5547485E-03
-4.115160E-01,-4.4784546E-03
-4.114332E-01,-4.5547485E-03
-4.113504E-01,-4.4784546E-03
-4.112676E-01,-4.3258667E-03
-4.111848E-01,-4.2495728E-03
-4.111020E-01,-4.2495728E-03
-4.110192E-01,-3.9443970E-03
-4.109364E-01,-4.0206909E-03
-4.108536E-01,-3.9443970E-03
-4.107708E-01,-4.0206909E-03
-4.106880E-01,-3.2577515E-03
-4.106052E-01,-3.8681030E-03
-4.105224E-01,-3.7918091E-03
-4.104396E-01,-3.6392212E-03
-4.103568E-01,-3.4866333E-03
-4.102740E-01,-2.8762817E-03
-4.101912E-01,-2.9525757E-03
-4.101084E-01,-3.1051636E-03
-4.100256E-01,-3.3340454E-03
-4.099428E-01,-3.1051636E-03
-4.098600E-01,-3.1814575E-03
-4.097772E-01,-3.2577515E-03
-4.096944E-01,-3.2577515E-03
-4.096116E-01,-3.9443970E-03
-4.095288E-01,-3.9443970E-03
-4.094460E-01,-4.0206909E-03
-4.093632E-01,-3.7918091E-03
-4.092804E-01,-3.8681030E-03
-4.091976E-01,-3.4866333E-03
-4.091148E-01,-3.5629272E-03
-4.090320E-01,-3.1051636E-03
-4.089492E-01,-3.1814575E-03
-4.088664E-01,-3.5629272E-03
-4.087836E-01,-3.2577515E-03
-4.087008E-01,-3.3340454E-03
-4.086180E-01,-3.3340454E-03
-4.085352E-01,-3.0288696E-03
-4.084524E-01,-3.1051636E-03
-4.083696E-01,-4.0206909E-03
-4.082868E-01,-3.3340454E-03
-4.082040E-01,-3.4866333E-03
-4.081212E-01,-3.7155151E-03
-4.080384E-01,-3.7918091E-03
-4.079556E-01,-3.4103394E-03
-4.078728E-01,-3.3340454E-03
-4.077900E-01,-3.4866333E-03
-4.077072E-01,-3.7918091E-03
-4.076244E-01,-3.5629272E-03
-4.075416E-01,-3.9443970E-03
-4.074588E-01,-3.6392212E-03
-4.073760E-01,-3.4103394E-03
-4.072932E-01,-3.1814575E-03
-4.072104E-01,-3.2577515E-03
-4.071276E-01,-3.4866333E-03
-4.070448E-01,-3.1814575E-03
-4.069620E-01,-3.4103394E-03
-4.068792E-01,-3.4103394E-03
-4.067964E-01,-3.7918091E-03
-4.067136E-01,-3.8681030E-03
-4.066308E-01,-3.9443970E-03
-4.065480E-01,-4.0969849E-03
-4.064652E-01,-4.0206909E-03
-4.063824E-01,-4.1732788E-03
-4.062996E-01,-3.5629272E-03
-4.062168E-01,-3.3340454E-03
-4.061340E-01,-3.4103394E-03
-4.060512E-01,-3.3340454E-03
-4.059684E-01,-3.4866333E-03
-4.058856E-01,-3.5629272E-03
-4.058028E-01,-3.7155151E-03
-4.057200E-01,-3.5629272E-03
-4.056372E-01,-3.6392212E-03
-4.055544E-01,-3.7918091E-03
-4.054716E-01,-3.2577515E-03
-4.053888E-01,-3.1814575E-03
-4.053060E-01,-3.1814575E-03
-4.052232E-01,-3.3340454E-03
-4.051404E-01,-3.3340454E-03
-4.050576E-01,-3.4866333E-03
-4.049748E-01,-2.9525757E-03
-4.048920E-01,-2.8762817E-03
-4.048092E-01,-2.5711060E-03
-4.047264E-01,-2.3422241E-03
-4.046436E-01,-2.7999878E-03
-4.045608E-01,-2.7999878E-03
-4.044780E-01,-3.0288696E-03
-4.043952E-01,-3.1051636E-03
-4.043124E-01,-3.0288696E-03
-4.042296E-01,-2.7236938E-03
-4.041468E-01,-2.8762817E-03
-4.040640E-01,-3.1051636E-03
-4.039812E-01,-3.1051636E-03
-4.038984E-01,-3.1814575E-03
-4.038156E-01,-3.0288696E-03
-4.037328E-01,-3.7918091E-03
-4.036500E-01,-3.7918091E-03
-4.035672E-01,-3.7918091E-03
-4.034844E-01,-3.4866333E-03
-4.034016E-01,-3.7918091E-03
-4.033188E-01,-3.7155151E-03
-4.032360E-01,-3.8681030E-03
-4.031532E-01,-4.0206909E-03
-4.030704E-01,-3.6392212E-03
-4.029876E-01,-4.4021606E-03
-4.029048E-01,-4.2495728E-03
-4.028220E-01,-4.4784546E-03
-4.027392E-01,-4.4021606E-03
-4.026564E-01,-4.3258667E-03
-4.025736E-01,-4.0206909E-03
-4.024908E-01,-4.2495728E-03
-4.024080E-01,-4.7073364E-03
-4.023252E-01,-5.0888062E-03
-4.022424E-01,-4.7073364E-03
-4.021596E-01,-4.4784546E-03
-4.020768E-01,-4.8599243E-03
-4.019940E-01,-5.0888062E-03
-4.019112E-01,-4.6310425E-03
-4.018284E-01,-4.8599243E-03
-4.017456E-01,-4.8599243E-03
-4.016628E-01,-4.7073364E-03
-4.015800E-01,-4.7836304E-03
-4.014972E-01,-4.7836304E-03
-4.014144E-01,-4.5547485E-03
-4.013316E-01,-4.7073364E-03
-4.012488E-01,-4.3258667E-03
-4.011660E-01,-3.9443970E-03
-4.010832E-01,-3.8681030E-03
-4.010004E-01,-3.7918091E-03
-4.009176E-01,-3.8681030E-03
-4.008348E-01,-4.0969849E-03
-4.007520E-01,-3.8681030E-03
-4.006692E-01,-4.0206909E-03
-4.005864E-01,-3.9443970E-03
-4.005036E-01,-4.1732788E-03
-4.004208E-01,-4.0969849E-03
-4.003380E-01,-3.9443970E-03
-4.002552E-01,-3.7918091E-03
-4.001724E-01,-3.8681030E-03
-4.000896E-01,-4.2495728E-03
-4.000068E-01,-4.4021606E-03
-3.999240E-01,1.5706863E+00
-3.998412E-01,2.9954758E+00
-3.997584E-01,3.0031052E+00
-3.996756E-01,3.0086746E+00
-3.995928E-01,3.0121078E+00
-3.995100E-01,3.0147781E+00
-3.994272E-01,3.0169907E+00
-3.993444E-01,3.0185928E+00
-3.992616E-01,3.0196609E+00
-3.991788E-01,3.0198135E+00
-3.990960E-01,3.0209579E+00
-3.990132E-01,3.0217209E+00
-3.989304E-01,3.0221786E+00
-3.988476E-01,3.0226364E+00
-3.987648E-01,3.0222549E+00
-3.986820E-01,3.0221024E+00
-3.985992E-01,3.0222549E+00
-3.985164E-01,3.0217972E+00
-3.984336E-01,3.0222549E+00
-3.983508E-01,3.0229416E+00
-3.982680E-01,3.0227890E+00
-3.981852E-01,3.0225601E+00
-3.981024E-01,3.0225601E+00
-3.980196E-01,3.0227890E+00
-3.979368E-01,3.0224838E+00
-3.978540E-01,3.0227127E+00
-3.977712E-01,3.0224838E+00
-3.976884E-01,3.0227127E+00
-3.976056E-01,3.0224838E+00
-3.975228E-01,3.0225601E+00
-3.974400E-01,3.0223312E+00
-3.973572E-01,3.0221024E+00
-3.972744E-01,3.0219498E+00
-3.971916E-01,3.0224075E+00
-3.971088E-01,3.0220261E+00
-3.970260E-01,3.0227890E+00
-3.969432E-01,3.0225601E+00
-3.968604E-01,3.0226364E+00
-3.967776E-01,3.0227890E+00
-3.966948E-01,3.0226364E+00
-3.966120E-01,3.0230942E+00
-3.965292E-01,3.0229416E+00
-3.964464E-01,3.0230179E+00
-3.963636E-01,3.0228653E+00
-3.962808E-01,3.0229416E+00
-3.961980E-01,3.0228653E+00
-3.961152E-01,3.0231705E+00
-3.960324E-01,3.0233994E+00
-3.959496E-01,3.0230942E+00
-3.958668E-01,3.0235519E+00
-3.957840E-01,3.0239334E+00
-3.957012E-01,3.0241623E+00
-3.956184E-01,3.0239334E+00
-3.955356E-01,3.0236282E+00
