in s,C1 in V,C2 in V
-3.0000E-02,1.03955E+01,1.12801E+01
-2.9994E-02,1.02002E+01,1.13387E+01
-2.9988E-02,1.03467E+01,1.12605E+01
-2.9982E-02,1.04443E+01,1.12215E+01
-2.9976E-02,1.03467E+01,1.12801E+01
-2.9970E-02,1.02490E+01,1.12605E+01
-2.9964E-02,1.06396E+01,1.12801E+01
-2.9958E-02,1.03955E+01,1.13582E+01
-2.9952E-02,1.04443E+01,1.13582E+01
-2.9946E-02,1.04932E+01,1.12996E+01
-2.9940E-02,1.04443E+01,1.13973E+01
-2.9934E-02,1.03955E+01,1.12801E+01
-2.9928E-02,1.06885E+01,1.12605E+01
-2.9922E-02,1.03955E+01,1.12410E+01
-2.9916E-02,1.05420E+01,1.12410E+01
-2.9910E-02,1.05420E+01,1.13582E+01
-2.9904E-02,1.05420E+01,1.12996E+01
-2.9898E-02,1.03955E+01,1.12801E+01
-2.9892E-02,1.04932E+01,1.12605E+01
-2.9886E-02,1.04932E+01,1.12605E+01
-2.9880E-02,1.05420E+01,1.12996E+01
-2.9874E-02,1.05908E+01,1.12801E+01
-2.9868E-02,1.05420E+01,1.12801E+01
-2.9862E-02,1.04443E+01,1.12996E+01
-2.9856E-02,1.05420E+01,1.12801E+01
-2.9850E-02,1.04932E+01,1.12801E+01
-2.9844E-02,1.05908E+01,1.12215E+01
-2.9838E-02,1.05908E+01,1.12020E+01
-2.9832E-02,1.06885E+01,1.13582E+01
-2.9826E-02,1.04932E+01,1.12801E+01
-2.9820E-02,1.05908E+01,1.12996E+01
-2.9814E-02,1.05908E+01,1.12801E+01
-2.9808E-02,1.06396E+01,1.12996E+01
-2.9802E-02,1.05420E+01,1.12801E+01
-2.9796E-02,1.05908E+01,1.12605E+01
-2.9790E-02,1.05908E+01,1.12996E+01
-2.9784E-02,1.07861E+01,1.12215E+01
-2.9778E-02,1.06885E+01,1.12410E+01
-2.9772E-02,1.08350E+01,1.12215E+01
-2.9766E-02,1.07373E+01,1.12801E+01
-2.9760E-02,1.05908E+01,1.12801E+01
-2.9754E-02,1.07373E+01,1.12801E+01
-2.9748E-02,1.08350E+01,1.12801E+01
-2.9742E-02,1.07373E+01,1.12605E+01
-2.9736E-02,1.07373E+01,1.12605E+01
-2.9730E-02,1.06885E+01,1.13387E+01
-2.9724E-02,1.07373E+01,1.11629E+01
-2.9718E-02,1.07373E+01,1.12410E+01
-2.9712E-02,1.07861E+01,1.13387E+01
-2.9706E-02,1.06396E+01,1.12605E+01
-2.9700E-02,1.09326E+01,1.13582E+01
-2.9694E-02,1.09326E+01,1.12215E+01
-2.9688E-02,1.07861E+01,1.12410E+01
-2.9682E-02,1.07373E+01,1.12410E+01
-2.9676E-02,1.10303E+01,1.10262E+01
-2.9670E-02,1.08838E+01,1.12410E+01
-2.9664E-02,1.08838E+01,1.14559E+01
-2.9658E-02,1.08350E+01,1.13777E+01
-2.9652E-02,1.07373E+01,1.12801E+01
-2.9646E-02,1.08350E+01,1.13191E+01
-2.9640E-02,1.09814E+01,1.12801E+01
-2.9634E-02,1.07861E+01,1.13191E+01
-2.9628E-02,1.09326E+01,1.12801E+01
-2.9622E-02,1.10791E+01,1.12801E+01
-2.9616E-02,1.10791E+01,1.12801E+01
-2.9610E-02,1.08838E+01,1.12410E+01
-2.9604E-02,1.08350E+01,1.12996E+01
-2.9598E-02,1.08350E+01,1.12801E+01
-2.9592E-02,1.08838E+01,1.13191E+01
-2.9586E-02,1.08350E+01,1.12801E+01
-2.9580E-02,1.09814E+01,1.12996E+01
-2.9574E-02,1.10791E+01,1.12801E+01
-2.9568E-02,1.09326E+01,1.13191E+01
-2.9562E-02,1.09326E+01,1.12605E+01
-2.9556E-02,1.09326E+01,1.12410E+01
-2.9550E-02,1.10303E+01,1.13191E+01
-2.9544E-02,1.10303E+01,1.12215E+01
-2.9538E-02,1.09326E+01,1.13387E+01
-2.9532E-02,1.10791E+01,1.11434E+01
-2.9526E-02,1.11279E+01,1.13973E+01
-2.9520E-02,1.11279E+01,1.12801E+01
-2.9514E-02,1.09814E+01,1.11824E+01
-2.9508E-02,1.11768E+01,1.13191E+01
-2.9502E-02,1.09814E+01,1.12605E+01
-2.9496E-02,1.09326E+01,1.12605E+01
-2.9490E-02,1.11768E+01,1.13191E+01
-2.9484E-02,1.11279E+01,1.12801E+01
-2.9478E-02,1.11279E+01,1.13191E+01
-2.9472E-02,1.10303E+01,1.13191E+01
-2.9466E-02,1.11279E+01,1.12801E+01
-2.9460E-02,1.11279E+01,1.12801E+01
-2.9454E-02,1.12256E+01,1.12215E+01
-2.9448E-02,1.13232E+01,1.13387E+01
-2.9442E-02,1.10791E+01,1.12215E+01
-2.9436E-02,1.11279E+01,1.12801E+01
-2.9430E-02,1.10791E+01,1.13191E+01
-2.9424E-02,1.13232E+01,1.12410E+01
-2.9418E-02,1.12744E+01,1.12410E+01
-2.9412E-02,1.11768E+01,1.12605E+01
-2.9406E-02,1.11768E+01,1.12605E+01
-2.9400E-02,1.12256E+01,1.13191E+01
-2.9394E-02,1.12744E+01,1.13387E+01
-2.9388E-02,1.12256E+01,1.12605E+01
-2.9382E-02,1.10791E+01,1.12801E+01
-2.9376E-02,1.10791E+01,1.13191E+01
-2.9370E-02,1.12744E+01,1.12605E+01
-2.9364E-02,1.12256E+01,1.12801E+01
-2.9358E-02,1.12744E+01,1.13387E+01
-2.9352E-02,1.12744E+01,1.12996E+01
-2.9346E-02,1.12744E+01,1.13387E+01
-2.9340E-02,1.12256E+01,1.12605E+01
-2.9334E-02,1.12744E+01,1.12996E+01
-2.9328E-02,1.13232E+01,1.13191E+01
