in s,C1 in V,C2 in V
-3.000000E+00,1.16455E+01,1.44775E+01
-2.999400E+00,1.16455E+01,1.44287E+01
-2.998800E+00,1.16455E+01,1.44775E+01
-2.998200E+00,1.17920E+01,1.48682E+01
-2.997600E+00,1.16943E+01,1.53076E+01
-2.997000E+00,1.17432E+01,1.52588E+01
-2.996400E+00,1.16943E+01,1.48193E+01
-2.995800E+00,1.15967E+01,1.43311E+01
-2.995200E+00,1.16943E+01,1.43799E+01
-2.994600E+00,1.16943E+01,1.45264E+01
-2.994000E+00,1.16943E+01,1.48682E+01
-2.993400E+00,1.15967E+01,1.53076E+01
-2.992800E+00,1.17432E+01,1.53076E+01
-2.992200E+00,1.18896E+01,1.53076E+01
-2.991600E+00,1.16455E+01,1.44287E+01
-2.991000E+00,1.16455E+01,1.42334E+01
-2.990400E+00,1.16455E+01,1.41846E+01
-2.989800E+00,1.15967E+01,1.44287E+01
-2.989200E+00,1.16455E+01,1.47217E+01
-2.988600E+00,1.18408E+01,1.51611E+01
-2.988000E+00,1.16455E+01,1.51123E+01
-2.987400E+00,1.16455E+01,1.48682E+01
-2.986800E+00,1.16455E+01,1.44287E+01
-2.986200E+00,1.14990E+01,1.41846E+01
-2.985600E+00,1.16943E+01,1.42334E+01
-2.985000E+00,1.15479E+01,1.44287E+01
-2.984400E+00,1.16455E+01,1.47217E+01
-2.983800E+00,1.15479E+01,1.51123E+01
-2.983200E+00,1.15967E+01,1.50146E+01
-2.982600E+00,1.14502E+01,1.47705E+01
-2.982000E+00,1.14990E+01,1.43799E+01
-2.981400E+00,1.14990E+01,1.42822E+01
-2.980800E+00,1.14990E+01,1.42334E+01
-2.980200E+00,1.14502E+01,1.45264E+01
-2.979600E+00,1.14014E+01,1.50146E+01
-2.979000E+00,1.14990E+01,1.51123E+01
-2.978400E+00,1.17432E+01,1.50146E+01
-2.977800E+00,1.14502E+01,1.44287E+01
-2.977200E+00,1.13037E+01,1.42334E+01
-2.976600E+00,1.14502E+01,1.41846E+01
-2.976000E+00,1.14014E+01,1.41846E+01
-2.975400E+00,1.13525E+01,1.46240E+01
-2.974800E+00,1.15479E+01,1.49658E+01
-2.974200E+00,1.14990E+01,1.51123E+01
-2.973600E+00,1.13037E+01,1.50146E+01
-2.973000E+00,1.13037E+01,1.42334E+01
-2.972400E+00,1.13525E+01,1.41357E+01
-2.971800E+00,1.14014E+01,1.39404E+01
-2.971200E+00,1.14502E+01,1.40869E+01
-2.970600E+00,1.13525E+01,1.44287E+01
-2.970000E+00,1.14014E+01,1.46729E+01
-2.969400E+00,1.13037E+01,1.47705E+01
-2.968800E+00,1.14502E+01,1.48193E+01
-2.968200E+00,1.14502E+01,1.41846E+01
-2.967600E+00,1.15479E+01,1.40869E+01
-2.967000E+00,1.13525E+01,1.38428E+01
-2.966400E+00,1.13525E+01,1.42334E+01
-2.965800E+00,1.13037E+01,1.44775E+01
-2.965200E+00,1.12549E+01,1.49658E+01
-2.964600E+00,1.14014E+01,1.50146E+01
-2.964000E+00,1.14014E+01,1.45264E+01
-2.963400E+00,1.14502E+01,1.44287E+01
-2.962800E+00,1.13037E+01,1.40381E+01
-2.962200E+00,1.14014E+01,1.39893E+01
-2.961600E+00,1.13037E+01,1.44287E+01
-2.961000E+00,1.13037E+01,1.46240E+01
-2.960400E+00,1.13037E+01,1.48682E+01
-2.959800E+00,1.14014E+01,1.47705E+01
-2.959200E+00,1.14014E+01,1.42334E+01
-2.958600E+00,1.13037E+01,1.39404E+01
-2.958000E+00,1.12061E+01,1.38428E+01
-2.957400E+00,1.14014E+01,1.37451E+01
-2.956800E+00,1.13037E+01,1.41357E+01
-2.956200E+00,1.13037E+01,1.45752E+01
-2.955600E+00,1.13525E+01,1.49658E+01
-2.955000E+00,1.11572E+01,1.48193E+01
-2.954400E+00,1.13037E+01,1.42334E+01
-2.953800E+00,1.13037E+01,1.40381E+01
-2.953200E+00,1.13525E+01,1.35986E+01
-2.952600E+00,1.13037E+01,1.36475E+01
-2.952000E+00,1.11084E+01,1.41846E+01
-2.951400E+00,1.12061E+01,1.45264E+01
-2.950800E+00,1.13037E+01,1.46729E+01
-2.950200E+00,1.13037E+01,1.46729E+01
-2.949600E+00,1.13525E+01,1.41357E+01
-2.949000E+00,1.12549E+01,1.39404E+01
-2.948400E+00,1.13037E+01,1.36475E+01
-2.947800E+00,1.12061E+01,1.38428E+01
-2.947200E+00,1.11572E+01,1.42822E+01
-2.946600E+00,1.14014E+01,1.46729E+01
-2.946000E+00,1.12549E+01,1.47217E+01
-2.945400E+00,1.12549E+01,1.45264E+01
-2.944800E+00,1.12549E+01,1.44287E+01
-2.944200E+00,1.10596E+01,1.38916E+01
-2.943600E+00,1.11572E+01,1.36963E+01
-2.943000E+00,1.11084E+01,1.38916E+01
-2.942400E+00,1.10596E+01,1.41846E+01
-2.941800E+00,1.13525E+01,1.45264E+01
-2.941200E+00,1.11572E+01,1.46240E+01
-2.940600E+00,1.10596E+01,1.46729E+01
-2.940000E+00,1.11084E+01,1.42334E+01
-2.939400E+00,1.12061E+01,1.36475E+01
-2.938800E+00,1.11084E+01,1.36475E+01
-2.938200E+00,1.12549E+01,1.36963E+01
-2.937600E+00,1.10107E+01,1.40869E+01
-2.937000E+00,1.09619E+01,1.42822E+01
-2.936400E+00,1.11084E+01,1.44775E+01
-2.935800E+00,1.10596E+01,1.44775E+01
-2.935200E+00,1.09619E+01,1.44775E+01
-2.934600E+00,1.10107E+01,1.37451E+01
-2.934000E+00,1.09619E+01,1.36963E+01
-2.933400E+00,1.10596E+01,1.36963E+01
-2.932800E+00,1.11084E+01,1.39893E+01
-2.932200E+00,1.10107E+01,1.46240E+01
-2.931600E+00,1.11084E+01,1.45264E+01
-2.931000E+00,1.10596E+01,1.44775E+01
-2.930400E+00,1.09131E+01,1.43311E+01
-2.929800E+00,1.10596E+01,1.39893E+01
-2.929200E+00,1.09131E+01,1.35986E+01
-2.928600E+00,1.11084E+01,1.35986E+01
-2.928000E+00,1.09619E+01,1.38916E+01
-2.927400E+00,1.10107E+01,1.45264E+01
-2.926800E+00,1.09131E+01,1.45264E+01
-2.926200E+00,1.11084E+01,1.45752E+01
-2.925600E+00,1.08643E+01,1.39893E+01
-2.925000E+00,1.09131E+01,1.35986E+01
-2.924400E+00,1.07666E+01,1.34521E+01
-2.923800E+00,1.12061E+01,1.34033E+01
-2.923200E+00,1.10107E+01,1.37939E+01
-2.922600E+00,1.07666E+01,1.42334E+01
-2.922000E+00,1.10107E+01,1.43799E+01
-2.921400E+00,1.10107E+01,1.43799E+01
-2.920800E+00,1.10596E+01,1.38428E+01
-2.920200E+00,1.10107E+01,1.36963E+01
-2.919600E+00,1.09131E+01,1.33057E+01
-2.919000E+00,1.09131E+01,1.33057E+01
-2.918400E+00,1.09131E+01,1.35986E+01
-2.917800E+00,1.09131E+01,1.40869E+01
-2.917200E+00,1.09131E+01,1.43311E+01
-2.916600E+00,1.09131E+01,1.41846E+01
-2.916000E+00,1.08154E+01,1.42334E+01
-2.915400E+00,1.09619E+01,1.39404E+01
-2.914800E+00,1.09131E+01,1.33545E+01
-2.914200E+00,1.07666E+01,1.33057E+01
-2.913600E+00,1.07666E+01,1.36475E+01
-2.913000E+00,1.06689E+01,1.40869E+01
-2.912400E+00,1.09619E+01,1.41846E+01
-2.911800E+00,1.07666E+01,1.44287E+01
-2.911200E+00,1.08643E+01,1.42822E+01
