in s,C1 in V
-3.30000E-01,5.5169159E-01
-3.29934E-01,5.4894501E-01
-3.29868E-01,5.4947906E-01
-3.29802E-01,5.4917389E-01
-3.29736E-01,5.4993683E-01
-3.29670E-01,5.4978424E-01
-3.29604E-01,5.4925018E-01
-3.29538E-01,5.4848724E-01
-3.29472E-01,5.4772430E-01
-3.29406E-01,5.4696136E-01
-3.29340E-01,5.4749542E-01
-3.29274E-01,5.4848724E-01
-3.29208E-01,5.4833466E-01
-3.29142E-01,5.4856354E-01
-3.29076E-01,5.4825836E-01
-3.29010E-01,5.4749542E-01
-3.28944E-01,5.4863983E-01
-3.28878E-01,5.4902130E-01
-3.28812E-01,5.4642731E-01
-3.28746E-01,5.4719025E-01
-3.28680E-01,5.4787689E-01
-3.28614E-01,5.4818207E-01
-3.28548E-01,5.4902130E-01
-3.28482E-01,5.4963165E-01
-3.28416E-01,5.4848724E-01
-3.28350E-01,5.4879242E-01
-3.28284E-01,5.4863983E-01
-3.28218E-01,5.4802948E-01
-3.28152E-01,5.4787689E-01
-3.28086E-01,5.4772430E-01
-3.28020E-01,5.4711395E-01
-3.27954E-01,5.4749542E-01
-3.27888E-01,5.4833466E-01
-3.27822E-01,5.4802948E-01
-3.27756E-01,5.4841095E-01
-3.27690E-01,5.4894501E-01
-3.27624E-01,5.4925018E-01
-3.27558E-01,5.4894501E-01
-3.27492E-01,5.4841095E-01
-3.27426E-01,5.4856354E-01
-3.27360E-01,5.4909760E-01
-3.27294E-01,5.4970795E-01
-3.27228E-01,5.4787689E-01
-3.27162E-01,5.4764801E-01
-3.27096E-01,5.4787689E-01
-3.27030E-01,5.4818207E-01
-3.26964E-01,5.4741913E-01
-3.26898E-01,5.4871613E-01
-3.26832E-01,5.4802948E-01
-3.26766E-01,5.4734283E-01
-3.26700E-01,5.4978424E-01
-3.26634E-01,5.4955536E-01
-3.26568E-01,5.4863983E-01
-3.26502E-01,5.5039459E-01
-3.26436E-01,5.4909760E-01
-3.26370E-01,5.4818207E-01
-3.26304E-01,5.4925018E-01
-3.26238E-01,5.4879242E-01
-3.26172E-01,5.4818207E-01
-3.26106E-01,5.5008942E-01
-3.26040E-01,5.4932648E-01
-3.25974E-01,5.4863983E-01
-3.25908E-01,5.4863983E-01
-3.25842E-01,5.4902130E-01
-3.25776E-01,5.4848724E-01
-3.25710E-01,5.4757172E-01
-3.25644E-01,5.4780060E-01
-3.25578E-01,5.4802948E-01
-3.25512E-01,5.4818207E-01
-3.25446E-01,5.4879242E-01
-3.25380E-01,5.4879242E-01
-3.25314E-01,5.4925018E-01
-3.25248E-01,5.4856354E-01
-3.25182E-01,5.4886871E-01
-3.25116E-01,5.4940277E-01
-3.25050E-01,5.4841095E-01
-3.24984E-01,5.4757172E-01
-3.24918E-01,5.4749542E-01
-3.24852E-01,5.4833466E-01
-3.24786E-01,5.5008942E-01
-3.24720E-01,5.4902130E-01
-3.24654E-01,5.4833466E-01
-3.24588E-01,5.4802948E-01
-3.24522E-01,5.4917389E-01
-3.24456E-01,5.4917389E-01
-3.24390E-01,5.4764801E-01
-3.24324E-01,5.4818207E-01
-3.24258E-01,5.4886871E-01
-3.24192E-01,5.4993683E-01
-3.24126E-01,5.4848724E-01
-3.24060E-01,5.4947906E-01
-3.23994E-01,5.5039459E-01
-3.23928E-01,5.4917389E-01
-3.23862E-01,5.4978424E-01
-3.23796E-01,5.4787689E-01
-3.23730E-01,5.4749542E-01
-3.23664E-01,5.4734283E-01
-3.23598E-01,5.5008942E-01
-3.23532E-01,5.4963165E-01
-3.23466E-01,5.4894501E-01
-3.23400E-01,5.4749542E-01
-3.23334E-01,5.4696136E-01
-3.23268E-01,5.4719025E-01
-3.23202E-01,5.4863983E-01
-3.23136E-01,5.4925018E-01
-3.23070E-01,5.4902130E-01
-3.23004E-01,5.4825836E-01
-3.22938E-01,5.4856354E-01
-3.22872E-01,5.4795319E-01
-3.22806E-01,5.4780060E-01
-3.22740E-01,5.4894501E-01
-3.22674E-01,5.4978424E-01
-3.22608E-01,5.4886871E-01
-3.22542E-01,5.4879242E-01
-3.22476E-01,5.4825836E-01
-3.22410E-01,5.4986053E-01
-3.22344E-01,5.4940277E-01
-3.22278E-01,5.4871613E-01
-3.22212E-01,5.4650360E-01
-3.22146E-01,5.4795319E-01
-3.22080E-01,5.4917389E-01
-3.22014E-01,5.4848724E-01
-3.21948E-01,5.4818207E-01
-3.21882E-01,5.4787689E-01
-3.21816E-01,5.4810577E-01
-3.21750E-01,5.4871613E-01
-3.21684E-01,5.4780060E-01
-3.21618E-01,5.4894501E-01
-3.21552E-01,5.4902130E-01
-3.21486E-01,5.4818207E-01
-3.21420E-01,5.4955536E-01
-3.21354E-01,5.4963165E-01
-3.21288E-01,5.4970795E-01
-3.21222E-01,5.4856354E-01
-3.21156E-01,5.4886871E-01
-3.21090E-01,5.4909760E-01
-3.21024E-01,5.4940277E-01
-3.20958E-01,5.4879242E-01
-3.20892E-01,5.4863983E-01
-3.20826E-01,5.4856354E-01
-3.20760E-01,5.4886871E-01
-3.20694E-01,5.5069977E-01
-3.20628E-01,5.5001312E-01
-3.20562E-01,5.4886871E-01
-3.20496E-01,5.4886871E-01
-3.20430E-01,5.5039459E-01
-3.20364E-01,5.5069977E-01
-3.20298E-01,5.4848724E-01
-3.20232E-01,5.4848724E-01
-3.20166E-01,5.4863983E-01
-3.20100E-01,5.4917389E-01
-3.20034E-01,5.4871613E-01
-3.19968E-01,5.4902130E-01
-3.19902E-01,5.4848724E-01
-3.19836E-01,5.4848724E-01
-3.19770E-01,5.4863983E-01
-3.19704E-01,5.4795319E-01
-3.19638E-01,5.4886871E-01
-3.19572E-01,5.4978424E-01
-3.19506E-01,5.4879242E-01
-3.19440E-01,5.4764801E-01
-3.19374E-01,5.4780060E-01
-3.19308E-01,5.4741913E-01
-3.19242E-01,5.4741913E-01
-3.19176E-01,5.4772430E-01
-3.19110E-01,5.4886871E-01
-3.19044E-01,5.5001312E-01
-3.18978E-01,5.5001312E-01
-3.18912E-01,5.4917389E-01
-3.18846E-01,5.4963165E-01
-3.18780E-01,5.4917389E-01
-3.18714E-01,5.4841095E-01
-3.18648E-01,5.4795319E-01
-3.18582E-01,5.4780060E-01
-3.18516E-01,5.4726654E-01
-3.18450E-01,5.4703766E-01
-3.18384E-01,5.4787689E-01
-3.18318E-01,5.4795319E-01
-3.18252E-01,5.4795319E-01
-3.18186E-01,5.4871613E-01
-3.18120E-01,5.4902130E-01
-3.18054E-01,5.4848724E-01
-3.17988E-01,5.4932648E-01
-3.17922E-01,5.4818207E-01
-3.17856E-01,5.4886871E-01
-3.17790E-01,5.4719025E-01
-3.17724E-01,5.4863983E-01
-3.17658E-01,5.4925018E-01
-3.17592E-01,5.4802948E-01
-3.17526E-01,5.4772430E-01
-3.17460E-01,5.4726654E-01
-3.17394E-01,5.4696136E-01
-3.17328E-01,5.4863983E-01
-3.17262E-01,5.4932648E-01
-3.17196E-01,5.4863983E-01
-3.17130E-01,5.4833466E-01
-3.17064E-01,5.4894501E-01
-3.16998E-01,5.5062347E-01
-3.16932E-01,5.4841095E-01
-3.16866E-01,5.4749542E-01
-3.16800E-01,5.4749542E-01
-3.16734E-01,5.4818207E-01
-3.16668E-01,5.4848724E-01
-3.16602E-01,5.4909760E-01
-3.16536E-01,5.4848724E-01
-3.16470E-01,5.4841095E-01
-3.16404E-01,5.4978424E-01
-3.16338E-01,5.4894501E-01
-3.16272E-01,5.4833466E-01
-3.16206E-01,5.4825836E-01
-3.16140E-01,5.4940277E-01
-3.16074E-01,5.5024200E-01
-3.16008E-01,5.4833466E-01
-3.15942E-01,5.4848724E-01
-3.15876E-01,5.4818207E-01
-3.15810E-01,5.4932648E-01
-3.15744E-01,5.4863983E-01
-3.15678E-01,5.4665619E-01
-3.15612E-01,5.4780060E-01
-3.15546E-01,5.4818207E-01
-3.15480E-01,5.4940277E-01
-3.15414E-01,5.4886871E-01
-3.15348E-01,5.4863983E-01
-3.15282E-01,5.4825836E-01
-3.15216E-01,5.4940277E-01
-3.15150E-01,5.4917389E-01
-3.15084E-01,5.4802948E-01
-3.15018E-01,5.4841095E-01
-3.14952E-01,5.4894501E-01
-3.14886E-01,5.5077606E-01
-3.14820E-01,5.4894501E-01
-3.14754E-01,5.4841095E-01
-3.14688E-01,5.4818207E-01
-3.14622E-01,5.4947906E-01
-3.14556E-01,5.4909760E-01
-3.14490E-01,5.4711395E-01
-3.14424E-01,5.4848724E-01
-3.14358E-01,5.4757172E-01
-3.14292E-01,5.4612213E-01
-3.14226E-01,5.4902130E-01
-3.14160E-01,5.4963165E-01
-3.14094E-01,5.4917389E-01
