in s,C1 in V,C2 in V,C3 in V
-1.980000E-02,4.46777E+00,6.32324E+00,-2.24609E-02
-1.980000E-02,5.20020E+00,7.29980E+00,3.22266E-02
-1.920000E-02,4.46777E+00,6.17676E+00,-2.05078E-02
-1.920000E-02,5.15137E+00,7.10449E+00,3.22266E-02
-1.860000E-02,4.51660E+00,6.12793E+00,-2.24609E-02
-1.860000E-02,5.24902E+00,7.00684E+00,3.22266E-02
-1.800000E-02,4.51660E+00,6.12793E+00,-2.24609E-02
-1.800000E-02,5.24902E+00,6.95801E+00,3.22266E-02
-1.740000E-02,4.51660E+00,6.07910E+00,-3.41797E-02
-1.740000E-02,5.20020E+00,6.90918E+00,3.61328E-02
-1.680000E-02,4.46777E+00,6.07910E+00,-3.61328E-02
-1.680000E-02,5.20020E+00,6.90918E+00,4.39453E-02
-1.620000E-02,4.46777E+00,6.12793E+00,-4.39453E-02
-1.620000E-02,5.20020E+00,6.95801E+00,5.95703E-02
-1.560000E-02,4.46777E+00,6.17676E+00,-4.78516E-02
-1.560000E-02,5.20020E+00,7.05566E+00,5.95703E-02
-1.500000E-02,4.46777E+00,6.27441E+00,-4.78516E-02
-1.500000E-02,5.24902E+00,7.10449E+00,5.76172E-02
-1.440000E-02,4.46777E+00,6.32324E+00,-2.83203E-02
-1.440000E-02,5.24902E+00,7.15332E+00,3.61328E-02
-1.380000E-02,4.51660E+00,6.37207E+00,-4.00391E-02
-1.380000E-02,5.24902E+00,7.25098E+00,4.78516E-02
-1.320000E-02,4.51660E+00,6.46973E+00,-4.00391E-02
-1.320000E-02,5.24902E+00,7.29980E+00,4.98047E-02
-1.260000E-02,4.51660E+00,6.51855E+00,-3.61328E-02
-1.260000E-02,5.20020E+00,7.29980E+00,4.98047E-02
-1.200000E-02,4.46777E+00,6.51855E+00,-2.44141E-02
-1.200000E-02,5.20020E+00,7.25098E+00,3.41797E-02
-1.140000E-02,4.46777E+00,6.51855E+00,-2.05078E-02
-1.140000E-02,5.24902E+00,7.25098E+00,3.22266E-02
-1.080000E-02,4.51660E+00,6.42090E+00,-1.85547E-02
-1.080000E-02,5.24902E+00,7.29980E+00,3.02734E-02
-1.020000E-02,4.46777E+00,6.17676E+00,-2.05078E-02
-1.020000E-02,5.20020E+00,7.29980E+00,3.02734E-02
-9.600000E-03,4.46777E+00,6.12793E+00,-3.02734E-02
-9.600000E-03,5.20020E+00,7.15332E+00,3.61328E-02
-9.000000E-03,4.51660E+00,5.98144E+00,-3.61328E-02
-9.000000E-03,5.20020E+00,6.90918E+00,4.58984E-02
-8.400000E-03,4.46777E+00,5.98144E+00,-3.61328E-02
-8.400000E-03,5.24902E+00,6.81152E+00,4.58984E-02
-7.800000E-03,4.46777E+00,5.93262E+00,-4.00391E-02
-7.800000E-03,5.24902E+00,6.76269E+00,4.98047E-02
-7.200000E-03,4.46777E+00,5.93262E+00,-4.00391E-02
-7.200000E-03,5.24902E+00,6.71387E+00,6.54297E-02
-6.600000E-03,4.51660E+00,5.93262E+00,-4.00391E-02
-6.600000E-03,5.24902E+00,6.71387E+00,6.54297E-02
-6.000000E-03,4.51660E+00,5.93262E+00,-3.61328E-02
-6.000000E-03,5.24902E+00,6.76269E+00,4.98047E-02
-5.400000E-03,4.51660E+00,5.98144E+00,-3.80859E-02
-5.400000E-03,5.20020E+00,6.81152E+00,4.98047E-02
-4.800000E-03,4.51660E+00,6.03027E+00,-3.80859E-02
-4.800000E-03,5.24902E+00,6.90918E+00,4.98047E-02
-4.200000E-03,4.51660E+00,6.12793E+00,-3.61328E-02
-4.200000E-03,5.24902E+00,6.95801E+00,4.58984E-02
-3.600000E-03,4.51660E+00,6.17676E+00,-2.24609E-02
-3.600000E-03,5.20020E+00,7.05566E+00,3.41797E-02
-3.000000E-03,4.51660E+00,6.27441E+00,-1.85547E-02
